model,n_cells,mean_I_norm,mean_N_hat,slope_I_on_b,slope_N_on_b,frac_overreveal_N
claude-sonnet,15,0.9685254350753351,2.0,-0.11985769607055265,1.7093001656742788e-15,0.0
gemini-flash,15,0.7758698836975478,2.0,-1.571978001670613,1.7093001656742788e-15,0.0
gpt-4o,15,0.8805174856853532,2.0,-2.170458547592467,1.7093001656742788e-15,0.0
llama-3.3-70b,15,0.9257112153113746,1.9333333333333333,-2.2559211840088804,-2.7878787878787863,0.0
