bias,n_cells,mean_I_norm,mean_N_hat,N_CS,I_norm_CS,mean_L_R,mean_L_S,L_R_CS,L_S_CS,frac_overreveal_N,frac_overreveal_MI
0.0,12,0.9925879760619932,2.0,Full,1.0,0.00036539476244124323,0.00036539476244124323,0.0,0.0,0.0,0.0
0.01,12,0.9440935963021686,2.0,7,0.5294207583586101,0.001740072255594179,0.001841588115610232,0.003300680272108844,0.003400680272108844,0.0,1.0
0.04,12,0.8942947578821231,2.0,4,0.3267961089442339,0.000998635922234659,0.0025957181599517926,0.013208333333333334,0.014808333333333335,0.0,1.0
0.08,12,0.8312274835687555,2.0,3,0.2205241513299818,0.003489299617735952,0.009889133081476207,0.026325925925925923,0.03272592592592592,0.0,1.0
0.12,12,0.7760762108969734,1.9166666666666667,2,0.18293917677241123,0.010341655634252322,0.024767158278500196,0.03523333333333333,0.049633333333333335,0.0,1.0
