bias,n_cells,mean_I_norm,mean_N_hat,N_CS,I_norm_CS,mean_L_R,mean_L_S,L_R_CS,L_S_CS,frac_overreveal_N,frac_overreveal_MI
0.0,3,1.0,2.0,Full,1.0,5.601334202265845e-10,5.601334202265845e-10,0.0,0.0,0.0,0.0
0.01,3,0.9816717541447916,2.0,7,0.5294207583586101,8.90622965148264e-06,0.00010868824878731394,0.003300680272108844,0.003400680272108844,0.0,1.0
0.04,3,0.8773843162206241,2.0,4,0.3267961089442339,0.00018805082276710045,0.0017810984526625878,0.013208333333333334,0.014808333333333335,0.0,1.0
0.08,3,0.809901034891506,2.0,3,0.2205241513299818,0.0009668084467368914,0.007314814913562276,0.026325925925925923,0.03272592592592592,0.0,1.0
0.12,3,0.7336303231698443,2.0,2,0.18293917677241123,0.0027205451767292267,0.01699924413105178,0.03523333333333333,0.049633333333333335,0.0,1.0
